date,sku,brand,title,price,winner_merchant,sellers_count,rating,review_count,question_count,minimum_price_30d,url
2026-09-14,HBCV0000DBZW0E,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 5 Beden Junior 80 Adet,739.99,Hayat,2,4.5,172,172,666.99,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-5-beden-junior-80-adet-pm-HBC0000DBZW0D
2026-09-14,HBV000014EYBZ,Prima,Prima PremiumCare Bebek Bezi Aylık Fırsat Paketi 6 Numara 93 Adet Bez,1797.9,Hepsiburada,4,4.8,22213,22213,974.25,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-aylik-firsat-paketi-6-numara-93-adet-bez-p-HBV000014EYBZ
2026-09-14,HBCV0000DBZW0G,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 4 Beden Maxi 104 Adet,739.99,Hayat,2,4.7,127,127,666.99,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-4-beden-maxi-104-adet-pm-HBC0000DBZW0F
2026-09-14,HBCV0000C84XTH,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 6 Numara Xlarge 124 Adet,840,defnebebek,6,4.2,655,655,879.99,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-6-numara-xlarge-124-adet-p-HBCV0000C84XTH
2026-09-14,HBCV0000DBZW0C,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 6 Beden Extra Large 64 Adet,739.99,Hayat,3,4.6,114,114,666.99,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-6-beden-extra-large-64-adet-pm-HBC0000DBZW0B
2026-09-14,HBV00000RFTBH,Prima,Prima PremiumCare Bebek Bezi Aylık Fırsat Paketi 5 Numara 108 Adet Bez,1797.9,Hepsiburada,7,4.8,22213,22213,1513.76,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-aylik-firsat-paketi-5-numara-108-adet-bez-p-HBV00000RFTBH
2026-09-14,HBCV0000C855AN,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 5 Numara Junior 156 Adet,840,defnebebek,5,4.2,655,655,879.99,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-5-numara-junior-156-adet-p-HBCV0000C855AN
2026-09-14,HBCV00001HGG6F,Molfix,Molfix Bebek Bezi 3D 6 Beden Extra Large 15+ Kg 62li Ultra Fırsat Paketi,507.9,ebebek,18,4.7,13551,13551,528.63,https://www.hepsiburada.com/molfix-bebek-bezi-3d-6-beden-extra-large-15-kg-62li-ultra-firsat-paketi-p-HBCV00001HGG6F
2026-09-14,HBCV00004OVP0Y,Molfix,Molfix Bebek Bezi 6 Beden E.large Hiper Ekonomi Paketi 124 Adet,939.99,Happycomtr,11,4.5,1388,1388,1036.99,https://www.hepsiburada.com/molfix-bebek-bezi-6-beden-e-large-hiper-ekonomi-paketi-124-adet-pm-HBC00004OVP0X
2026-09-14,HBCV00004Z6R7Y,Molfix,Molfix Bebek Bezi 3D 3 Beden Midi 4-9 Kg 108li Ultra Fırsat Paketi,528.63,ebebek,16,4.6,709,709,528.63,https://www.hepsiburada.com/molfix-ultra-firsat-paketi-midi-3-beden-108-adet-pm-HBC00004Z6R7X
2026-09-14,HBCV00004QEIFJ,Molfix,Molfix Pants Bebek Bezi 5 Beden Junior Aylık Fırsat Paketi 132 Adet,917.99,Hayat,9,4.4,1041,1041,837.99,https://www.hepsiburada.com/molfix-pants-bebek-bezi-5-beden-junior-aylik-avantajpaketi-132-adet-pm-HBC00004QEIFI
2026-09-14,HBCV0000C84457,Sleepy,Sleepy Natural Double Soft Ultra Paket Bebek Bezi 4 Numara Maxi 100 Adet,657,Sleepy,6,4.4,329,329,519.03,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-paket-bebek-bezi-4-numara-maxi-100-adet-p-HBCV0000C84457
2026-09-14,HBV00000RFTBG,Prima,Prima PremiumCare Bebek Bezi Aylık Fırsat Paketi 4 Numara 126 Adet Bez,1797.9,Hepsiburada,5,4.8,22213,22213,1546.91,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-aylik-firsat-paketi-4-numara-126-adet-bez-p-HBV00000RFTBG
2026-09-14,HBCV00006WEIWO,Molfix,Molfix Premium Avantajlı Paket 5 Beden 132 Adet,1006.99,Hayat,7,4.2,269,269,888.99,https://www.hepsiburada.com/molfix-premium-avantajli-paket-5-beden-132-adet-pm-HBC00006WEIWN
2026-09-14,HBCV0000DBZW0A,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 3 Beden Midi 112 Adet,739.99,Hayat,2,4.3,78,78,666.99,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-3-beden-midi-112-adet-pm-HBC0000DBZW09
2026-09-14,HBCV00009INAGR,Molfix,Molfix Külot Bebek Bezi 6 Beden Extra Large 38 Adet Bez Jumbo Paket,327.03,ebebek,4,4.6,84,84,327.03,https://www.hepsiburada.com/molfix-kulot-bebek-bezi-6-beden-extra-large-jumbo-38-adet-pm-HBC00009INAGQ
2026-09-14,HBV00000RFTB6,Prima,Prima PremiumCare Bebek Bezi Ekonomik Paket 1 Numara 70 Adet Bez,503.99,ebebek,8,4.8,6905,6905,895.99,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-ekonomik-paket-1-numara-70-adet-bez-p-HBV00000RFTB6
2026-09-14,HBCV0000DBZW0I,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 2 Beden Mini 132 Adet,739.99,Hayat,4,4.3,75,75,666.99,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-2-beden-mini-132-adet-pm-HBC0000DBZW0H
2026-09-14,HBCV00004OVOF6,Molfix,Molfix Bebek Bezi 5 Beden Junior Hiper Ekonomi Paketi 156 Adet,971,defnebebek,13,4.6,3296,3296,971,https://www.hepsiburada.com/molfix-bebek-bezi-5-beden-junior-hiper-ekonomi-paketi-156-adet-pm-HBC00004OVOF5
2026-09-14,HBCV0000C84N9N,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 3 Numara Midi 84 Adet,566,Sleepy,4,4.2,655,655,447.14,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-3-numara-midi-84-adet-p-HBCV0000C84N9N
2026-09-14,HBCV00006WWHO7,Molfix,Molfix Premium Süper Fırsat Paketi 4 Beden 108 Adet,891.99,Hayat,5,4.1,377,377,763.99,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-4-beden-108-adet-pm-HBC00006WWHO6
2026-09-14,HBCV00006WD3N1,Molfix,Molfix Premium Süper Fırsat Paketi 5 Beden 84 Adet,891.99,Hayat,3,4.2,402,402,763.99,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-5-beden-84-adet-pm-HBC00006WD3N0
2026-09-14,HBCV00005ADJMY,Molfix,Molfix Pure & Soft Bebek Bezi 5 Beden Junior 132 Adet,1059.99,Hayat,5,4.5,1026,1026,966.99,https://www.hepsiburada.com/molfix-pure-soft-bebek-bezi-5-beden-junior-132-adet-pm-HBC00005ADJMX
