date,sku,brand,title,price,winner_merchant,sellers_count,rating,review_count,question_count,minimum_price_30d,url
2026-09-14,HBCV0000378DED,Bioderma,"Bioderma Atoderm Ultra Vücut Kremi - 500 ml, Kuru Ciltler İçin Besleyici ve Nemlendirici Formül, Gözenekleri Tıkamayan",829,DERMOJET,16,4.4,7182,7182,1089,https://www.hepsiburada.com/bioderma-atoderm-ultra-vucut-kremi-500-ml-kuru-ciltler-icin-besleyici-ve-nemlendirici-formul-gozenekleri-tikamayan-pm-HBC0000378DEC
2026-09-14,SGBE3337872412998,La Roche-Posay,La Roche-Posay Cicaplast Baume B5+ Onarıcı ve Yatıştırıcı Bakım Krem 40 ml,470,La Roche Posay,30,4.4,4457,4457,639.9,https://www.hepsiburada.com/la-roche-posay-cicaplast-baume-b5-onarici-bakim-kremi-40ml-pm-sgbe3337872412998
2026-09-14,HBCV0000374BSH,Bioderma,Bioderma Atoderm Cream Ultra Normal ve Kuru Ciltler için Nemlendirici Yüz ve Vücut Bakım Kremi 200 ml,749,Dermoshops,17,4.7,6211,6211,990,https://www.hepsiburada.com/atoderm-cream-ultra-normal-ve-kuru-ciltler-icin-nemlendirici-yuz-vucut-bakim-kremi-bebek-cocuk-ve-yetiskin-kullanimina-uygun-200-ml-pm-HBC0000374BSG
2026-09-14,HBCV00002LC7N0,Cream Co.,Cream Co. Su Bazlı Moisturizer Nemlendirici Yüz Kremi | Hyaluronik Asit | 50 ML | Tüm Cilt Tipleri,309.9,Cream Co.,12,4.6,9915,9915,292.9,https://www.hepsiburada.com/cream-co-moisturizer-su-bazli-nemlendirici-yuz-kremi-tum-cilt-tipleri-pm-HBC00002LC7MZ
2026-09-14,HBV00000ETJQD,Bioderma,Bioderma Atoderm Intensive Balm Atopi Eğilimli Ciltler İçin Seyahat Boy Nemlendirici ve Onarıcı Krem 45 ml,389.25,BIODERMA,13,4.7,511,511,379,https://www.hepsiburada.com/bioderma-atoderm-intensive-balm-atopi-egilimli-ciltler-icin-seyahat-boy-nemlendirici-ve-onarici-krem-45-ml-pm-HB00000ETJQC
2026-09-14,HBCV0000HINHWK,,La Roche-Posay Effaclar Supramolecular Gözenek ve Yağlanma Karşıtı Bakım Kremi 40 ml,950,La Roche Posay,6,5,2,2,974.92,https://www.hepsiburada.com/la-roche-posay-effaclar-supramolecular-gozenek-ve-yaglanma-karsiti-bakim-kremi-40-ml-pm-HBC0000HINHWA
2026-09-14,HBV00000EH19D,CeraVe,Cerave Nemlendirici Krem Kuru Ciltler Seramid ve Hyalüronik Asit İçerikli 340 gr,949,CeraVe,28,4.6,6256,6256,937.42,https://www.hepsiburada.com/cerave-nemlendirici-krem-kuru-ciltler-seramid-ve-hyaluronik-asit-icerikli-340-gr-pm-HB00000EH19C
2026-09-14,HBCV000003ADBS,Clinique,"Clinique Moisture Surge™ 100 Saat Etkili Nemlendirici Yüz Kremi 30ml | Aloe Vera BioFerment, Hyalüronik Asit",1425,CLINIQUE,8,4.7,2590,2590,956.25,https://www.hepsiburada.com/clinique-moisture-surge-100-saat-etkili-nemlendirici-30-ml-192333066928-pm-HBC000003ADBR
2026-09-14,HBCV0000BBUT0A,Mia Klinika,Mia Klinika 72 Saat Etkili Su Bazlı Yoğun Nemlendirici Yüz Kremi,349,Mia Klinika,1,4.5,40,40,299,https://www.hepsiburada.com/72-saat-etkili-su-bazli-yogun-nemlendirici-yuz-kremi-pm-HBC0000BBUT09
2026-09-14,HBCV000014QVAQ,The Purest Solutions,"The Purest Solutions, 24 Saat Etkili Günlük Yoğun Nemlendirici Cilt Bakım Kremi 50 ml",329.9,The Purest Solutions,2,4.6,6608,6608,254.9,https://www.hepsiburada.com/the-purest-solutions-24-saat-etkili-gunluk-yogun-nemlendirici-bakim-kremi-tps202-pm-HBC000014QVAP
2026-09-14,SGBE3401348840421,Bioderma,"Bioderma Sebium Hydra Seramid İçeren Yatıştırıcı, Kurutucu Akne Tedavisi Yoğun Nemlendirici Bakım Kremi 40 ML",1110,Farmakozmetika Sağlık Ürünleri,18,4.7,1129,1129,1289,https://www.hepsiburada.com/bioderma-sebium-hydra-nemlendirici-krem-40-ml-kuru-ciltler-icin-yogun-nemlendirme-ve-bariyer-onarimi-gunluk-bakim-pm-sgbe3401348840421
2026-09-14,HBCV0000519407,La Roche-Posay,"La Roche-Posay Effaclar Duo+M Nemlendirici Krem - Tüm Cilt Tipleri İçin Hafif Formül, 40 ml, Günlük Kullanım İçin İdeal",710,DERMOJET,30,4.6,2548,2548,964,https://www.hepsiburada.com/la-roche-posay-effaclar-duo-m-nemlendirici-krem-tum-cilt-tipleri-icin-hafif-formul-40-ml-gunluk-kullanim-icin-ideal-pm-HBC0000519406
2026-09-14,HBV00000VGZTM,Avene,Avene Cicalfate+ Hassas ve Yıpranmış Ciltler için Yatıştırıcı ve Onarıcı Bakım Kremi 40 ml,513,Kozvit,14,4.4,1228,1228,520,https://www.hepsiburada.com/avene-cicalfate-repairing-protective-cream-40-ml-pm-HB00000VGZTL
2026-09-14,HBCV0000A2NRBC,Mia Klinika,Mia Klinika Tiger Grass Kızarıklık Karşıtı Ton Eşitleyici Krem 30 ml E Vitamini İçeren Etkili Nemlendirici,349,Mia Klinika,4,4,42,42,349,https://www.hepsiburada.com/tiger-grass-ton-esitleyici-kizariklik-karsiti-50-spf-cica-krem-30-ml-pm-HBC0000A2NRBB
2026-09-14,HBCV00001WSU6M,TTO,TTO Dermodicos Plus Krem 30 ml Nemlendirici Etkili Normal Ciltler İçin Dermatolojik Olarak Test Edilmiş,800,ELİZAN SAĞLIK,20,4.2,371,371,837.99,https://www.hepsiburada.com/tto-dermodicos-plus-krem-30-ml-pm-HBC00001WSU6L
2026-09-14,HBCV00009K0TWU,TTO,TTO-X Nemlendirici Yüz Temizleme Köpüğü 200 ml | Hyaluronik Asit & Günlük Cilt Temizleyici,319,TTO JEOMED,6,4.3,285,285,177.6,https://www.hepsiburada.com/tto-nemlendirici-yuz-temizleme-kopugu-niacinamide-icerikli-tum-cilt-tipleri-icin-200-ml-pm-HBC00009K0TWT
