date,sku,brand,title,price,winner_merchant,sellers_count,rating,review_count,question_count,minimum_price_30d,url
2026-09-14,HBCV00008I3HVZ,Lufian,Lufian Pıers Erkek Deri Sneaker Ayakkabı Siyah,999.99,LUFIAN,1,4.5,77,77,799.99,https://www.hepsiburada.com/lufian-piers-erkek-deri-sneaker-ayakkabi-siyah-p-HBCV00008I3HVZ
2026-09-14,HBCV00007XOIZB,U.S. Polo Assn.,U.S. Polo Assn. Franco 5fx Beyaz Erkek Sneaker Ayakkabı,699,Macilya,3,4.1,57,57,749,https://www.hepsiburada.com/u-s-polo-assn-franco-5fx-beyaz-erkek-sneaker-ayakkabi-p-HBCV00007XOIZB
2026-09-14,HBCV000016OT9Y,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Siyah Erkek Sneaker,750,A Ticaret,8,4.2,860,860,795,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-siyah-erkek-sneaker-p-HBCV000016OT9Y
2026-09-14,HBCV000015EXWV,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Gri Erkek Sneaker,999,5n spor,3,4.2,860,860,806.65,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-gri-erkek-sneaker-p-HBCV000015EXWV
2026-09-14,HBCV0000187YH6,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Lacivert Erkek Sneaker,750,Macilya,3,4.2,860,860,775,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-lacivert-erkek-sneaker-p-HBCV0000187YH6
2026-09-14,HBCV000016OTA0,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Beyaz Erkek Sneaker,899,5n spor,4,4.2,860,860,703,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-beyaz-erkek-sneaker-p-HBCV000016OTA0
2026-09-14,HBCV0000C7LM35,U.S. Polo Assn.,U.s. Polo Assn. Franco 2fx Beyaz Erkek Sneaker,665,5n spor,4,4.1,448,448,675,https://www.hepsiburada.com/u-s-polo-assn-franco-2fx-beyaz-erkek-sneaker-p-HBCV0000C7LM35
2026-09-14,HBCV00001RN8I9,U.S. Polo Assn.,U.S. Polo Assn. Franco 2fx Lacivert Erkek Sneaker,870,5n spor,2,4.1,448,448,740,https://www.hepsiburada.com/u-s-polo-assn-franco-2fx-lacivert-erkek-sneaker-p-HBCV00001RN8I9
2026-09-14,HBCV00004DD3UZ,Hammer Jack,Hammer Jack Polına 101 23380-M Beyaz Erkek Spor Ayakkabı,1999.9,Babalı_Ayakkabı,5,4.5,2,2,1699.91,https://www.hepsiburada.com/hammer-jack-polina-101-23380-m-beyaz-erkek-spor-ayakkabi-p-HBCV00004DD3UZ
2026-09-14,HBCV00001DZ3CO,U.S. Polo Assn.,U.S. Polo Assn. Franco Sneaker Ayakkabı CKR00104 - 7/8,750,A Ticaret,3,4.9,14,14,675.75,https://www.hepsiburada.com/u-s-polo-assn-franco-sneaker-ayakkabi-ckr00104-7-8-p-HBCV00001DZ3CO
