rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
1,HBCV00008I3HVZ,Lufian,Lufian Pıers Erkek Deri Sneaker Ayakkabı Siyah,999.99,999.99,LUFIAN,4.5,77,https://www.hepsiburada.com/lufian-piers-erkek-deri-sneaker-ayakkabi-siyah-p-HBCV00008I3HVZ,moda-vitrini
2,HBCV00007XOIZB,U.S. Polo Assn.,U.S. Polo Assn. Franco 5fx Beyaz Erkek Sneaker Ayakkabı,699,749,Macilya,4.1,57,https://www.hepsiburada.com/u-s-polo-assn-franco-5fx-beyaz-erkek-sneaker-ayakkabi-p-HBCV00007XOIZB,moda-vitrini
3,HBCV000016OT9Y,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Siyah Erkek Sneaker,750,795,A Ticaret,4.2,860,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-siyah-erkek-sneaker-p-HBCV000016OT9Y,moda-vitrini
4,HBCV000015EXWV,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Gri Erkek Sneaker,999,999,,4.2,860,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-gri-erkek-sneaker-p-HBCV000015EXWV,moda-vitrini
5,HBCV0000187YH6,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Lacivert Erkek Sneaker,750,750,,4.2,860,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-lacivert-erkek-sneaker-p-HBCV0000187YH6,moda-vitrini
6,HBCV000016OTA0,U.S. Polo Assn.,U.S. Polo Assn. Kares 2fx Beyaz Erkek Sneaker,899,899,,4.2,860,https://www.hepsiburada.com/u-s-polo-assn-kares-2fx-beyaz-erkek-sneaker-p-HBCV000016OTA0,moda-vitrini
7,HBCV0000C7LM35,U.S. Polo Assn.,U.s. Polo Assn. Franco 2fx Beyaz Erkek Sneaker,665,703,5n spor,4.1,448,https://www.hepsiburada.com/u-s-polo-assn-franco-2fx-beyaz-erkek-sneaker-p-HBCV0000C7LM35,moda-vitrini
8,HBCV00001RN8I9,U.S. Polo Assn.,U.S. Polo Assn. Franco 2fx Lacivert Erkek Sneaker,870,870,,4.1,448,https://www.hepsiburada.com/u-s-polo-assn-franco-2fx-lacivert-erkek-sneaker-p-HBCV00001RN8I9,moda-vitrini
9,HBCV00004DD3UZ,Hammer Jack,Hammer Jack Polına 101 23380-M Beyaz Erkek Spor Ayakkabı,1999.9,1999.9,Babalı_Ayakkabı,4.5,2,https://www.hepsiburada.com/hammer-jack-polina-101-23380-m-beyaz-erkek-spor-ayakkabi-p-HBCV00004DD3UZ,moda-vitrini
10,HBCV00001DZ3CO,U.S. Polo Assn.,U.S. Polo Assn. Franco Sneaker Ayakkabı CKR00104 - 7/8,750,750,A Ticaret,4.9,14,https://www.hepsiburada.com/u-s-polo-assn-franco-sneaker-ayakkabi-ckr00104-7-8-p-HBCV00001DZ3CO,moda-vitrini
