date,sku,brand,title,price,winner_merchant,sellers_count,rating,review_count,question_count,minimum_price_30d,url
2026-09-14,HBCV00000PZKLT,Bingo,Bingo Matik Konsantre Toz deterjan 10kg Mutlu Yuvam,504.9,HORON GLOBAL MARKET,15,4.4,12797,12797,377.9,https://www.hepsiburada.com/bingo-matik-mutlu-yuvam-renkliler-ve-beyazlar-toz-camasir-deterjani-10-kg-pm-HBC00000PZKLS
2026-09-14,HBCV0000DCBSEH,Omo,Omo Express Fresh Kötü Koku Karşıtı Renkliler ve Beyazlar Sıvı Çamaşır Deterjanı 840 ml,178.9,Hepsiburada,1,4.7,285,285,178.9,https://www.hepsiburada.com/omo-express-fresh-kotu-koku-karsiti-renkliler-ve-beyazlar-sivi-camasir-deterjani-840-ml-pm-HBC0000DCBSEG
2026-09-14,ZYHEN4407,Perwoll,Perwoll Siyahlar & Koyu Renkliler Hassas Bakım Sıvı Çamaşır Deterjanı 2.97L (54 Yıkama),254.9,Hepsiburada,10,4.7,42668,42668,239,https://www.hepsiburada.com/perwoll-siyahlar-koyu-renkliler-hassas-bakim-sivi-camasir-deterjani-2-97l-54-yikama-pm-zyhen4407
2026-09-14,HBCV0000DCBW9T,Omo,Omo Express Fresh Ultra Beyaz Sıvı Çamaşır Deterjanı 840 ml,172.9,Hepsiburada,2,4.8,142,142,149,https://www.hepsiburada.com/omo-express-fresh-ultra-beyaz-sivi-camasir-deterjani-840-ml-pm-HBC0000DCBW9S
2026-09-14,HBCV00009RP4FI,Bingo,Bingo Matik Premium Toz Deterjan 8 kg Beyaz,619,G-Market,3,4.8,253,253,603,https://www.hepsiburada.com/bingo-matik-premium-toz-deterjan-8-kg-beyaz-pm-HBC00009RP4FH
2026-09-14,HBCV000071GFAW,Siveno,Siveno %100 Doğal Bebek Çamaşır Sabunu Kendinden Yumuşatıcılı Bitkisel Deterjan Vegan 1000 ml X2 Adet,449.9,siveno,2,4.5,4046,4046,399.9,https://www.hepsiburada.com/siveno-100-dogal-bebek-camasir-sabunu-kendinden-yumusaticili-bitkisel-deterjan-vegan-1000-ml-x2-adet-pm-HBC000071GFAV
2026-09-14,ZYHEN4438,Perwoll,"Perwoll Renkliler Sıvı Bakım Deterjanı 2,97 L | 54 Yıkama | Renk Yenileme | Renkli Giysiler",254.9,Hepsiburada,8,4.7,36428,36428,219,https://www.hepsiburada.com/perwoll-renkliler-sivi-bakim-deterjani-2-97-l-54-yikama-renk-yenileme-renkli-giysiler-pm-zyhen4438
2026-09-14,HBCV0000A1I3EE,Perwoll,Perwoll Renkliler ve Siyahlar Için Hızlı Yıkama 2l (36 Yıkama),122.9,Hepsiburada,3,4.5,733,733,99.01,https://www.hepsiburada.com/perwoll-renkliler-ve-siyahlar-icin-hizli-yikama-2l-36-yikama-pm-HBC0000A1I3ED
2026-09-14,HBV00000E6VXQ,Nilem,Nilem Sihirli Muhteşem Sıvı Duşakabin ve Fayans Temizleyici 1 lt,199.9,Nilem,2,4.2,2191,2191,179.91,https://www.hepsiburada.com/nilem-sihirli-muhtesem-sivi-1-lt-pm-HB00000E6VXP
2026-09-14,HBCV00005ZAUV8,My Rabbit,My Rabbit Çok Amaçlı Oksijenli Toz Leke Çıkarıcı 800 gr Hipoalerjenik ve Klor İçermeyen Güçlü Formül,640,Labim,3,4.4,1735,1735,415,https://www.hepsiburada.com/my-rabbit-cok-amacli-oksijenli-toz-leke-cikarici-800-gr-hipoalerjenik-ve-klor-icermeyen-guclu-formul-p-HBCV00005ZAUV8
2026-09-14,HBCV00005ZZECU,My Rabbit,My Rabbit 2 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 2 x 800 gr,1040,Labim,1,4.4,1735,1735,630,https://www.hepsiburada.com/my-rabbit-2-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-2-x-800-gr-p-HBCV00005ZZECU
2026-09-14,HBCV00005ZZBAU,My Rabbit,My Rabbit 3 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 3 x 800 gr,1290,Labim,1,4.4,1735,1735,1011.5,https://www.hepsiburada.com/my-rabbit-3-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-3-x-800-gr-p-HBCV00005ZZBAU
2026-09-14,HBCV00005ZZCYZ,My Rabbit,My Rabbit 4 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 800 gr 4 x 800 gr,1490,Labim,2,4.4,1735,1735,1232,https://www.hepsiburada.com/my-rabbit-4-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-800-gr-4-x-800-gr-p-HBCV00005ZZCYZ
2026-09-14,HBCV00008DCP58,My Rabbit,My Rabbit 5 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 5 x 800 gr,1543,Labim,1,4.4,1735,1735,1436.5,https://www.hepsiburada.com/my-rabbit-5-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-5-x-800-gr-p-HBCV00008DCP58
2026-09-14,HBCV00006V9KXP,Bingo,Bingo Akıllı Kapsül Pro Max Bulaşık Makinesi Deterjanı Tableti 60 Adet,389.9,Hepsiburada,17,4.8,2818,2818,339,https://www.hepsiburada.com/bingo-akilli-kapsul-pro-max-bulasik-makinesi-deterjani-tableti-60-li-pm-HBC00006V9KXO
2026-09-14,HBV00001AA3EQ,Perwoll,Perwoll Çiçek Cazibesi Renkli Giysiler için Sıvı Çamaşır Deterjanı 2.75L (50 Yıkama),245.9,Hepsiburada,7,4.7,14839,14839,199,https://www.hepsiburada.com/perwoll-cicek-cazibesi-renkli-giysiler-icin-sivi-camasir-deterjani-2-75l-50-yikama-pm-HB00001AA3EP
2026-09-14,HBCV00006RONYY,Omo,Omo Express Fresh Kötü Koku Karşıtı Beyaz ve Renkliler Sıvı Çamaşır Deterjanı 1480 ml,315.9,Hepsiburada,11,4.8,4449,4449,311.92,https://www.hepsiburada.com/omo-express-fresh-kotu-koku-karsiti-beyaz-ve-renkliler-sivi-camasir-deterjani-1480-ml-pm-HBC00006RONYX
2026-09-14,HBCV00006V9KXJ,Bingo,Bingo Akıllı Kapsül Pro Bulaşık Makinesi Deterjanı Tableti 80 Adet,520,İSO HOME,10,4.8,1535,1535,545,https://www.hepsiburada.com/bingo-akilli-kapsul-pro-bulasik-makinesi-deterjani-tableti-80-li-pm-HBC00006V9KXI
2026-09-14,HBV00000VF28O,Ariel,Ariel Dağ Esintisi Renkliler Toz Çamaşır Deterjanı 12 KG 80 Yıkama,823.9,Hepsiburada,2,4.7,33808,33808,549,https://www.hepsiburada.com/ariel-dag-esintisi-renkliler-toz-camasir-deterjani-12-kg-80-yikama-pm-HB00000VF28N
2026-09-14,HBCV00008QVN36,Perwoll,Perwoll Açık Renkliler İçin Hassas Sıvı Bakım Deterjanı 2970Ml (54 Yıkama),244.9,Hepsiburada,8,4.6,1427,1427,267.12,https://www.hepsiburada.com/perwoll-acik-renkliler-icin-hassas-sivi-bakim-deterjani-2970ml-54-yikama-pm-HBC00008QVN35
2026-09-14,HBCV00008OSZNX,Omo,Omo Express Fresh Ultra Beyaz Sıvı Çamaşır Deterjanı 1480 ml x1,307.9,Hepsiburada,7,4.8,1345,1345,298.42,https://www.hepsiburada.com/omo-express-fresh-ultra-beyaz-sivi-camasir-deterjani-1480-ml-x1-pm-HBC00008OSZNW
2026-09-14,HBCV00006V9KXN,Bingo,Bingo Akıllı Kapsül Pro Max Bulaşık Makinesi Deterjanı Tableti 40'lı,262.9,Hepsiburada,13,4.8,992,992,199,https://www.hepsiburada.com/bingo-akilli-kapsul-pro-max-bulasik-makinesi-deterjani-tableti-40-li-pm-HBC00006V9KXM
2026-09-14,HBCV000034TSCW,Omo,OMO Active Oxygen Beyaz Çamaşırlar İçin Toz Deterjanı  9 KG,697.9,Hepsiburada,5,4.7,12297,12297,568.99,https://www.hepsiburada.com/omo-active-oxygen-beyaz-camasirlar-icin-toz-deterjani-9-kg-pm-HBC000034TSCV
2026-09-14,HBCV0000904Y23,Bingo,Bingo Matik Premium Renkli 8 kg,640,ÇAĞRI AMBALAJ VE TEMİZLİK,4,4.8,150,150,584,https://www.hepsiburada.com/bingo-matik-premium-renkli-8-kg-pm-HBC0000904Y22
2026-09-14,HBCV0000FLSE18,Domestos,Domestos Dual Action Kötü Koku Karşıtı Çamaşır Suyu 750 ml,89.9,Hepsiburada,5,4.3,192,192,79,https://www.hepsiburada.com/domestos-dual-action-kotu-koku-karsiti-camasir-suyu-750-ml-pm-HBC0000FLSE15
2026-09-14,HBCV00006WDBKL,Fairy,Fairy Platinum Bulaşık Makinesi Kapsülü 96 Yıkama Limon Kokulu,881.9,Hepsiburada,8,4.8,1333,1333,679,https://www.hepsiburada.com/fairy-platinum-bulasik-makinesi-kapsulu-96-yikama-limon-kokulu-pm-HBC00006WDBKK
