rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
1,HBCV00000PZKLT,Bingo,Bingo Matik Konsantre Toz deterjan 10kg Mutlu Yuvam,504.9,513.67,Hepsiburada,4.4,12794,https://www.hepsiburada.com/bingo-matik-mutlu-yuvam-renkliler-ve-beyazlar-toz-camasir-deterjani-10-kg-pm-HBC00000PZKLS,supermarket-vitrini
2,HBCV0000DCBSEH,Omo,Omo Express Fresh Kötü Koku Karşıtı Renkliler ve Beyazlar Sıvı Çamaşır Deterjanı 840 ml,178.9,189,Hepsiburada,4.7,283,https://www.hepsiburada.com/omo-express-fresh-kotu-koku-karsiti-renkliler-ve-beyazlar-sivi-camasir-deterjani-840-ml-pm-HBC0000DCBSEG,supermarket-vitrini
3,ZYHEN4407,Perwoll,Perwoll Siyahlar & Koyu Renkliler Hassas Bakım Sıvı Çamaşır Deterjanı 2.97L (54 Yıkama),254.9,272.17,Hepsiburada,4.7,42668,https://www.hepsiburada.com/perwoll-siyahlar-koyu-renkliler-hassas-bakim-sivi-camasir-deterjani-2-97l-54-yikama-pm-zyhen4407,supermarket-vitrini
4,HBCV0000DCBW9T,Omo,Omo Express Fresh Ultra Beyaz Sıvı Çamaşır Deterjanı 840 ml,172.9,172.9,Hepsiburada,4.8,141,https://www.hepsiburada.com/omo-express-fresh-ultra-beyaz-sivi-camasir-deterjani-840-ml-pm-HBC0000DCBW9S,supermarket-vitrini
5,HBCV00009RP4FI,Bingo,Bingo Matik Premium Toz Deterjan 8 kg Beyaz,619,619,İLOVYA,4.8,253,https://www.hepsiburada.com/bingo-matik-premium-toz-deterjan-8-kg-beyaz-pm-HBC00009RP4FH,supermarket-vitrini
6,HBCV000071GFAW,Siveno,Siveno %100 Doğal Bebek Çamaşır Sabunu Kendinden Yumuşatıcılı Bitkisel Deterjan Vegan 1000 ml X2 Adet,449.9,449.9,siveno,4.5,4045,https://www.hepsiburada.com/siveno-100-dogal-bebek-camasir-sabunu-kendinden-yumusaticili-bitkisel-deterjan-vegan-1000-ml-x2-adet-pm-HBC000071GFAV,supermarket-vitrini
7,ZYHEN4438,Perwoll,"Perwoll Renkliler Sıvı Bakım Deterjanı 2,97 L | 54 Yıkama | Renk Yenileme | Renkli Giysiler",254.9,272.17,Hepsiburada,4.7,36427,https://www.hepsiburada.com/perwoll-renkliler-sivi-bakim-deterjani-2-97-l-54-yikama-renk-yenileme-renkli-giysiler-pm-zyhen4438,supermarket-vitrini
8,HBCV0000A1I3EE,Perwoll,Perwoll Renkliler ve Siyahlar Için Hızlı Yıkama 2l (36 Yıkama),122.9,122.9,Hepsiburada,4.5,733,https://www.hepsiburada.com/perwoll-renkliler-ve-siyahlar-icin-hizli-yikama-2l-36-yikama-pm-HBC0000A1I3ED,supermarket-vitrini
9,HBV00000E6VXQ,Nilem,Nilem Sihirli Muhteşem Sıvı Duşakabin ve Fayans Temizleyici 1 lt,199.9,199.9,Nilem,4.2,2191,https://www.hepsiburada.com/nilem-sihirli-muhtesem-sivi-1-lt-pm-HB00000E6VXP,supermarket-vitrini
10,HBCV00005ZAUV8,My Rabbit,My Rabbit Çok Amaçlı Oksijenli Toz Leke Çıkarıcı 800 gr Hipoalerjenik ve Klor İçermeyen Güçlü Formül,640,640,Labim,4.4,1733,https://www.hepsiburada.com/my-rabbit-cok-amacli-oksijenli-toz-leke-cikarici-800-gr-hipoalerjenik-ve-klor-icermeyen-guclu-formul-p-HBCV00005ZAUV8,supermarket-vitrini
11,HBCV00005ZZECU,My Rabbit,My Rabbit 2 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 2 x 800 gr,1040,1040,Labim,4.4,1733,https://www.hepsiburada.com/my-rabbit-2-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-2-x-800-gr-p-HBCV00005ZZECU,supermarket-vitrini
12,HBCV00005ZZBAU,My Rabbit,My Rabbit 3 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 3 x 800 gr,1290,1290,Labim,4.4,1733,https://www.hepsiburada.com/my-rabbit-3-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-3-x-800-gr-p-HBCV00005ZZBAU,supermarket-vitrini
13,HBCV00005ZZCYZ,My Rabbit,My Rabbit 4 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 800 gr 4 x 800 gr,1490,1490,Labim,4.4,1733,https://www.hepsiburada.com/my-rabbit-4-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-800-gr-4-x-800-gr-p-HBCV00005ZZCYZ,supermarket-vitrini
14,HBCV00008DCP58,My Rabbit,My Rabbit 5 Adet Çok Amaçlı Oksijenli Toz Leke Çıkarıcı ve Beyazlatıcı 5 x 800 gr,1543,1543,Labim,4.4,1733,https://www.hepsiburada.com/my-rabbit-5-adet-cok-amacli-oksijenli-toz-leke-cikarici-ve-beyazlatici-5-x-800-gr-p-HBCV00008DCP58,supermarket-vitrini
15,HBCV00006V9KXP,Bingo,Bingo Akıllı Kapsül Pro Max Bulaşık Makinesi Deterjanı Tableti 60 Adet,389.9,418.42,Hepsiburada,4.8,2818,https://www.hepsiburada.com/bingo-akilli-kapsul-pro-max-bulasik-makinesi-deterjani-tableti-60-li-pm-HBC00006V9KXO,supermarket-vitrini
16,HBV00001AA3EQ,Perwoll,Perwoll Çiçek Cazibesi Renkli Giysiler için Sıvı Çamaşır Deterjanı 2.75L (50 Yıkama),245.9,245.9,Hepsiburada,4.7,14838,https://www.hepsiburada.com/perwoll-cicek-cazibesi-renkli-giysiler-icin-sivi-camasir-deterjani-2-75l-50-yikama-pm-HB00001AA3EP,supermarket-vitrini
17,HBCV00006RONYY,Omo,Omo Express Fresh Kötü Koku Karşıtı Beyaz ve Renkliler Sıvı Çamaşır Deterjanı 1480 ml,315.9,325,Hepsiburada,4.8,4449,https://www.hepsiburada.com/omo-express-fresh-kotu-koku-karsiti-beyaz-ve-renkliler-sivi-camasir-deterjani-1480-ml-pm-HBC00006RONYX,supermarket-vitrini
18,HBCV00006V9KXJ,Bingo,Bingo Akıllı Kapsül Pro Bulaşık Makinesi Deterjanı Tableti 80 Adet,520,545,İSO HOME,4.8,1535,https://www.hepsiburada.com/bingo-akilli-kapsul-pro-bulasik-makinesi-deterjani-tableti-80-li-pm-HBC00006V9KXI,supermarket-vitrini
19,HBV00000VF28O,Ariel,Ariel Dağ Esintisi Renkliler Toz Çamaşır Deterjanı 12 KG 80 Yıkama,823.9,823.9,Hepsiburada,4.7,33808,https://www.hepsiburada.com/ariel-dag-esintisi-renkliler-toz-camasir-deterjani-12-kg-80-yikama-pm-HB00000VF28N,supermarket-vitrini
20,HBCV00008QVN36,Perwoll,Perwoll Açık Renkliler İçin Hassas Sıvı Bakım Deterjanı 2970Ml (54 Yıkama),244.9,275.17,Hepsiburada,4.6,1427,https://www.hepsiburada.com/perwoll-acik-renkliler-icin-hassas-sivi-bakim-deterjani-2970ml-54-yikama-pm-HBC00008QVN35,supermarket-vitrini
21,HBCV00008OSZNX,Omo,Omo Express Fresh Ultra Beyaz Sıvı Çamaşır Deterjanı 1480 ml x1,307.9,319,Hepsiburada,4.8,1344,https://www.hepsiburada.com/omo-express-fresh-ultra-beyaz-sivi-camasir-deterjani-1480-ml-x1-pm-HBC00008OSZNW,supermarket-vitrini
22,HBCV00006V9KXN,Bingo,Bingo Akıllı Kapsül Pro Max Bulaşık Makinesi Deterjanı Tableti 40'lı,262.9,262.9,Hepsiburada,4.8,992,https://www.hepsiburada.com/bingo-akilli-kapsul-pro-max-bulasik-makinesi-deterjani-tableti-40-li-pm-HBC00006V9KXM,supermarket-vitrini
23,HBCV000034TSCW,Omo,OMO Active Oxygen Beyaz Çamaşırlar İçin Toz Deterjanı  9 KG,697.9,697.9,Hepsiburada,4.7,12296,https://www.hepsiburada.com/omo-active-oxygen-beyaz-camasirlar-icin-toz-deterjani-9-kg-pm-HBC000034TSCV,supermarket-vitrini
24,HBCV0000904Y23,Bingo,Bingo Matik Premium Renkli 8 kg,640,640,ÇAĞRI AMBALAJ VE TEMİZLİK,4.8,150,https://www.hepsiburada.com/bingo-matik-premium-renkli-8-kg-pm-HBC0000904Y22,supermarket-vitrini
25,HBCV0000FLSE18,Domestos,Domestos Dual Action Kötü Koku Karşıtı Çamaşır Suyu 750 ml,89.9,95,Hepsiburada,4.3,191,https://www.hepsiburada.com/domestos-dual-action-kotu-koku-karsiti-camasir-suyu-750-ml-pm-HBC0000FLSE15,supermarket-vitrini
26,HBCV00006WDBKL,Fairy,Fairy Platinum Bulaşık Makinesi Kapsülü 96 Yıkama Limon Kokulu,881.9,881.9,Hepsiburada,4.8,1333,https://www.hepsiburada.com/fairy-platinum-bulasik-makinesi-kapsulu-96-yikama-limon-kokulu-pm-HBC00006WDBKK,supermarket-vitrini
27,HBCV0000FLSO2W,Domestos,Domestos Dual Action Kireç Karşıtı Çamaşır Suyu 750 ml,89.9,95,Hepsiburada,4.6,140,https://www.hepsiburada.com/domestos-dual-action-kirec-karsiti-camasir-suyu-750-ml-pm-HBC0000FLSO2U,supermarket-vitrini
28,HBCV00006ROOYW,Omo,Omo Express Fresh Canlı Renkler Ve Siyahlar Sıvı Deterjan 1480 ml x1,311.9,319,Hepsiburada,4.8,2225,https://www.hepsiburada.com/omo-express-fresh-capcanli-renkler-renkli-ve-siyahlar-sivi-camasir-deterjani-1480-ml-pm-HBC00006ROOYV,supermarket-vitrini
29,ZYHAYAT5021399,Bingo,Bingo Toz Çamaşır Deterjanı Sık Yıkananlar 9 Kg,524.99,524.99,Hayat,4.6,3475,https://www.hepsiburada.com/bingo-toz-camasir-deterjani-sik-yikananlar-9-kg-pm-zyhayat5021399,supermarket-vitrini
30,ZYUNIL70003462,Domestos,Domestos Yoğun Kıvamlı Çamaşır Suyu Dağ Esintisi 750 ml,85.9,91.42,Hepsiburada,4.8,6356,https://www.hepsiburada.com/domestos-yogun-kivamli-camasir-suyu-dag-esintisi-750-ml-pm-zyunil70003462,supermarket-vitrini
31,HBCV0000D63YMY,Omo,Omo Express Fresh Capcanlı Siyahlar Sıvı Çamaşır Deterjanı 1480 ml,312.9,319,Hepsiburada,4.7,160,https://www.hepsiburada.com/omo-express-fresh-capcanli-siyahlar-sivi-camasir-deterjani-1480-ml-pm-HBC0000D63YMX,supermarket-vitrini
32,HBCV00000M5TR5,Bingo,Bingo Tüm Renkler Sıvı Deterjan Onaran Koruma 3L,392.53,392.53,Kozmetikburada,4.7,164,https://www.hepsiburada.com/bingo-tum-renkler-sivi-deterjan-onaran-koruma-3l-pm-HBC00000M5TR4,supermarket-vitrini
33,ZYUNIL21127409,Yumoş,Yumoş Extra Konsantre Çamaşır Yumuşatıcı Lilyum 1440 ml 60 Yıkama,198.9,210,Hepsiburada,4.7,19683,https://www.hepsiburada.com/yumos-extra-konsantre-camasir-yumusatici-lilyum-1440-ml-60-yikama-pm-zyunil21127409,supermarket-vitrini
34,ZYHAYAT2798,Bingo,Bingo Renkli Sıvı Bakım Çamaşır Deterjanı 4 L,323.9,332.92,Hepsiburada,4.7,1928,https://www.hepsiburada.com/bingo-renkli-sivi-bakim-camasir-deterjani-4-l-pm-zyhayat2798,supermarket-vitrini
35,HBCV00009H5O9N,Yumoş,Yumoş Sıvı Bakım Deterjanı Siyah 2500 ml 50 Yıkama Canlandırıcı Terapi Özelliği ile,299.99,299.99,ESİNODABAŞOĞLU,4.7,111,https://www.hepsiburada.com/yumos-sivi-bakim-deterjani-siyah-50-yikama-2500-ml-pm-HBC00009H5O9M,supermarket-vitrini
36,HBCV000086O1KK,Persil,"Persil 9 kg Toz Çamaşır Deterjanı - 60 Yıkama, Ferah Kokulu, Beyaz ve Renkli Çamaşırlar İçin Konsantre Formül",448.9,448.9,Hepsiburada,4.8,540,https://www.hepsiburada.com/persil-9-kg-toz-camasir-deterjani-60-yikama-ferah-kokulu-beyaz-ve-renkli-camasirlar-icin-konsantre-formul-pm-HBC000086O1KJ,supermarket-vitrini
37,HBCV00000M5TR3,Bingo,Bingo Siyah Sıvı Bakım Çamaşır Deterjanı 3L,243.9,243.9,Hepsiburada,4.8,244,https://www.hepsiburada.com/bingo-siyah-sivi-bakim-camasir-deterjani-3l-pm-HBC00000M5TR2,supermarket-vitrini
38,HBCV00004MFD9Z,Perwoll,Perwoll Çiçek Cazibesi Tüm Koyu Renkli Giysiler için Sıvı Çamaşır Deterjanı 2750 ml (50 Yıkama),240.9,270.67,Hepsiburada,4.7,2811,https://www.hepsiburada.com/perwoll-cicek-cazibesi-tum-koyu-renkli-giysiler-icin-sivi-camasir-deterjani-2750-ml-50-yikama-pm-HBC00004MFD9Y,supermarket-vitrini
39,HBCV00004A3TRP,Solo,Solo Hijyenik Temizlik Bezi,81.9,86.17,Hepsiburada,4.4,4526,https://www.hepsiburada.com/solo-hijyenik-temizlik-bezi-pm-HBC00004A3TRO,supermarket-vitrini
40,ZYHEN829557,Pril,Pril Elde Yıkama Bulaşık Deterjanı Limon Kokulu 4 kg Soğuk Suda Etkili,229.9,229.9,Hepsiburada,4.7,29467,https://www.hepsiburada.com/pril-elde-yikama-bulasik-deterjani-limon-kokulu-4-kg-soguk-suda-etkili-pm-zyhen829557,supermarket-vitrini
41,HBCV00008N6GCP,Bingo,Bingo Sıvı Bulaşık Deterjanı 4 KG Limon Kokulu,222.9,232.42,Hepsiburada,4.7,532,https://www.hepsiburada.com/bingo-sivi-bulasik-deterjani-4-kg-limon-kokulu-pm-HBC00008N6GCO,supermarket-vitrini
