date,sku,brand,title,price,winner_merchant,sellers_count,rating,review_count,question_count,minimum_price_30d,url
2026-09-14,HBCV00009R5JVA,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Siyah,13699,Hepsiburada,10,4.6,990,990,11999,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-siyah-p-HBCV00009R5JVA
2026-09-14,HBCV00009R5VN3,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Turuncu,14099.06,Xiaomi Resmi Mağazası,3,4.6,990,990,14999,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-turuncu-p-HBCV00009R5VN3
2026-09-14,HBCV00009R5XPU,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Yeşil,13399,Hepsiburada,6,4.6,990,990,12299,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-yesil-p-HBCV00009R5XPU
2026-09-14,HBCV00009R5PSC,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Mavi,13699,Hepsiburada,6,4.6,990,990,12299,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-mavi-p-HBCV00009R5PSC
2026-09-14,HBCV00009S5QYI,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Gece Siyahı,38299,BAYAR TEKNOLOJİ,29,4.7,1135,1135,36749,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-gece-siyahi-p-HBCV00009S5QYI
2026-09-14,HBCV00009S5CRQ,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Buz Mavisi,38499,HİLAL İLETİŞİM33,29,4.7,1135,1135,37999,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-buz-mavisi-p-HBCV00009S5CRQ
2026-09-14,HBCV00009S55P7,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Lacivert,38349,OZN TEKNOLOJİ,32,4.7,1135,1135,34225,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-lacivert-p-HBCV00009S55P7
2026-09-14,HBCV00009S6B29,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Beyaz,38449,BittiBitiyor,13,4.7,1135,1135,38499,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-beyaz-p-HBCV00009S6B29
2026-09-14,HBCV0000DU6487,Samsung,Samsung Galaxy A37 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Antrasit,23999,Hepsiburada,18,4.7,223,223,22499,https://www.hepsiburada.com/samsung-galaxy-a37-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-antrasit-p-HBCV0000DU6487
2026-09-14,HBCV0000DU647I,Samsung,Samsung Galaxy A37 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Çam Yeşili,24099,Hepsiburada,17,4.7,223,223,22999.01,https://www.hepsiburada.com/samsung-galaxy-a37-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-cam-yesili-p-HBCV0000DU647I
