rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
1,HBCV00009R5JVA,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Siyah,13699,13699,Hepsiburada,4.6,990,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-siyah-p-HBCV00009R5JVA,elektronik-vitrini
2,HBCV00009R5VN3,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Turuncu,14099.06,14999,,4.6,990,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-turuncu-p-HBCV00009R5VN3,elektronik-vitrini
3,HBCV00009R5XPU,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Yeşil,13399,13399,,4.6,990,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-yesil-p-HBCV00009R5XPU,elektronik-vitrini
4,HBCV00009R5PSC,Xiaomi,REDMI 15C 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Mavi,13699,13699,,4.6,990,https://www.hepsiburada.com/redmi-15c-256-gb-8-gb-ram-xiaomi-turkiye-garantili-mavi-p-HBCV00009R5PSC,elektronik-vitrini
5,HBCV00009S5QYI,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Gece Siyahı,38299,38299,BAYAR TEKNOLOJİ,4.7,1135,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-gece-siyahi-p-HBCV00009S5QYI,elektronik-vitrini
6,HBCV00009S5CRQ,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Buz Mavisi,38499,41999,,4.7,1135,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-buz-mavisi-p-HBCV00009S5CRQ,elektronik-vitrini
7,HBCV00009S55P7,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Lacivert,38349,43725,,4.7,1135,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-lacivert-p-HBCV00009S55P7,elektronik-vitrini
8,HBCV00009S6B29,Samsung,Samsung Galaxy S25 Fe 256 GB 8 GB Ram (Samsung Türkiye Garantili) Beyaz,38449,42299,,4.7,1135,https://www.hepsiburada.com/samsung-galaxy-s25-fe-256-gb-8-gb-ram-samsung-turkiye-garantili-beyaz-p-HBCV00009S6B29,elektronik-vitrini
9,HBCV0000DU6487,Samsung,Samsung Galaxy A37 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Antrasit,23999,23999,Hepsiburada,4.7,223,https://www.hepsiburada.com/samsung-galaxy-a37-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-antrasit-p-HBCV0000DU6487,elektronik-vitrini
10,HBCV0000DU647I,Samsung,Samsung Galaxy A37 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Çam Yeşili,24099,24099,,4.7,223,https://www.hepsiburada.com/samsung-galaxy-a37-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-cam-yesili-p-HBCV0000DU647I,elektronik-vitrini
11,HBCV0000DU6667,Samsung,Samsung Galaxy A37 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Beyaz,24399,24399,,4.7,223,https://www.hepsiburada.com/samsung-galaxy-a37-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-beyaz-p-HBCV0000DU6667,elektronik-vitrini
12,HBCV0000DU648I,Samsung,Samsung Galaxy A37 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Lavanta Moru,24099,24099,,4.7,223,https://www.hepsiburada.com/samsung-galaxy-a37-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-lavanta-moru-p-HBCV0000DU648I,elektronik-vitrini
13,HBCV00009S6C8A,Samsung,Samsung Galaxy A17 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Siyah,16499,16499,Hepsiburada,4.7,690,https://www.hepsiburada.com/samsung-galaxy-a17-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-siyah-p-HBCV00009S6C8A,elektronik-vitrini
14,HBCV00009S6B27,Samsung,Samsung Galaxy A17 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Gri,16499,16499,,4.7,690,https://www.hepsiburada.com/samsung-galaxy-a17-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-gri-p-HBCV00009S6B27,elektronik-vitrini
15,HBCV00009SA9G8,Samsung,Samsung Galaxy A17 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Mavi,16499,16499,,4.7,690,https://www.hepsiburada.com/samsung-galaxy-a17-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-mavi-p-HBCV00009SA9G8,elektronik-vitrini
16,HBCV0000G8HWAN,Samsung,Samsung Galaxy A27 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Siyah,19499,19499,Hepsiburada,4.5,76,https://www.hepsiburada.com/samsung-galaxy-a27-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-siyah-p-HBCV0000G8HWAN,elektronik-vitrini
17,HBCV0000G8HTMB,Samsung,Samsung Galaxy A27 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Açık Pembe,21332.25,22455,,4.5,76,https://www.hepsiburada.com/samsung-galaxy-a27-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-acik-pembe-p-HBCV0000G8HTMB,elektronik-vitrini
18,HBCV0000G8HWA8,Samsung,Samsung Galaxy A27 5g 256 GB 8 GB Ram (Samsung Türkiye Garantili) Mavi,20548.17,21979,,4.5,76,https://www.hepsiburada.com/samsung-galaxy-a27-5g-256-gb-8-gb-ram-samsung-turkiye-garantili-mavi-p-HBCV0000G8HWA8,elektronik-vitrini
19,HBCV00007MIDSU,Samsung,Samsung Galaxy S25 Ultra 512 GB 12 GB Ram (Samsung Türkiye Garantili) Siyah Titanyum,71249,71249,Hepsiburada,4.8,1713,https://www.hepsiburada.com/samsung-galaxy-s25-ultra-512-gb-12-gb-ram-samsung-turkiye-garantili-siyah-titanyum-p-HBCV00007MIDSU,elektronik-vitrini
20,HBCV00007MIF54,Samsung,Samsung Galaxy S25 Ultra 512 GB 12 GB Ram (Samsung Türkiye Garantili) Gri Titanyum,71249,71249,,4.8,1713,https://www.hepsiburada.com/samsung-galaxy-s25-ultra-512-gb-12-gb-ram-samsung-turkiye-garantili-gri-titanyum-p-HBCV00007MIF54,elektronik-vitrini
21,HBCV00007MIEP5,Samsung,Samsung Galaxy S25 Ultra 512 GB 12 GB Ram (Samsung Türkiye Garantili) Gümüş Titanyum,71249,71249,,4.8,1713,https://www.hepsiburada.com/samsung-galaxy-s25-ultra-512-gb-12-gb-ram-samsung-turkiye-garantili-gumus-titanyum-p-HBCV00007MIEP5,elektronik-vitrini
22,HBCV00007MIEMJ,Samsung,Samsung Galaxy S25 Ultra 512 GB 12 GB Ram (Samsung Türkiye Garantili) Mavi Titanyum,71249,71249,,4.8,1713,https://www.hepsiburada.com/samsung-galaxy-s25-ultra-512-gb-12-gb-ram-samsung-turkiye-garantili-mavi-titanyum-p-HBCV00007MIEMJ,elektronik-vitrini
23,HBCV0000F7Z39B,POCO,Poco C81 Pro 128 GB 4 GB Ram (Poco Türkiye Garantili) Siyah,9299,9299,Hepsiburada,4.9,217,https://www.hepsiburada.com/poco-c81-pro-128-gb-4-gb-ram-poco-turkiye-garantili-siyah-p-HBCV0000F7Z39B,elektronik-vitrini
24,HBCV0000F7Z39T,POCO,Poco C81 Pro 128 GB 4 GB Ram (Poco Türkiye Garantili) Gold,9399,9399,,4.9,217,https://www.hepsiburada.com/poco-c81-pro-128-gb-4-gb-ram-poco-turkiye-garantili-gold-p-HBCV0000F7Z39T,elektronik-vitrini
25,HBCV0000F7Z3AC,POCO,Poco C81 Pro 128 GB 4 GB Ram (Poco Türkiye Garantili) Yeşil,9399,9399,,4.9,217,https://www.hepsiburada.com/poco-c81-pro-128-gb-4-gb-ram-poco-turkiye-garantili-yesil-p-HBCV0000F7Z3AC,elektronik-vitrini
26,HBCV0000BMY1EL,Xiaomi,REDMI Note 15 Pro 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Siyah,22549,22549,Hepsiburada,4.4,890,https://www.hepsiburada.com/redmi-note-15-pro-256-gb-8-gb-ram-xiaomi-turkiye-garantili-siyah-p-HBCV0000BMY1EL,elektronik-vitrini
27,HBCV0000BMYU08,Xiaomi,REDMI Note 15 Pro 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Mavi,23999,23999,,4.4,890,https://www.hepsiburada.com/redmi-note-15-pro-256-gb-8-gb-ram-xiaomi-turkiye-garantili-mavi-p-HBCV0000BMYU08,elektronik-vitrini
